Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brazil,BRA,11600.9484568395,11602.4996033575,11800.8409655572,11786.3337522352,12316.3742641535,12565.9413936417,12922.1554849938,13564.9941989629,14114.9747702043,13962.2588783344,14873.2083173363,15323.3317296101,15478.789287159,15805.2229104458,15749.5121636511,15064.1760689478
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brunei Darussalam,BRN,69022.8801555068,69483.9048609962,70771.5988195667,71483.1808953436,70616.6200359784,69787.8222042953,71843.5233564564,71051.7107888333,68856.1616923591,66851.1170370043,67753.4217667143,69388.8131973129,69090.341492818,66715.6926477592,64190.8241471541,63147.4834900843
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bulgaria,BGR,10201.2781187994,10803.6192901151,11697.9536355983,12398.4353645885,13297.1135244978,14356.019677453,15449.4350933122,16583.9587844953,17717.1218284588,17229.8494817825,17440.671883099,17966.1580585619,18134.9608435703,18296.146891746,18747.370050962,19620.1539761978
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Burkina Faso,BFA,1296.74796014307,1343.54354257612,1362.28017545833,1426.61671204758,1447.50365577282,1527.02215854176,1574.73012209824,1590.83027032364,1632.94858853561,1631.19382841923,1716.35832279765,1775.77917858267,1834.54330775192,1883.79653969539,1907.94921260654,1925.33207544524
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Burundi,BDI,828.000459963366,826.028941189357,839.777900352484,804.884213731122,817.461158471719,798.704826964119,815.053628697424,815.908194131274,827.792314504817,831.564824331731,846.169136789899,852.502621649322,862.715712963336,877.272964851954,886.235416674512,825.20566069269
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cabo Verde,CPV,4065.47941350903,4084.4440203509,4228.51308318085,4336.86517148727,4709.0372400368,4964.79745990214,5291.04755645552,6018.10724081733,6341.20448227116,6185.76091748475,6200.3435365952,6366.1285114968,6353.70770434801,6323.37646188107,6281.79397089329,6266.88177858088
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cambodia,KHM,1481.65682787052,1570.07387095648,1642.60803709455,1752.04127620561,1902.09670311227,2120.55171733923,2313.34303341317,2511.90102327997,2640.63162843159,2603.58359309187,2716.69973756029,2862.9080457977,3022.59672458301,3191.86174454214,3364.27806867374,3546.33938731031
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cameroon,CMR,2750.51116534277,2795.87200139323,2837.96071231462,2889.28118516732,3003.25098501748,2982.02508108574,3002.13471877632,3064.12480418292,3084.98521956416,3067.22249864944,3086.2214744681,3126.78623748453,3180.77233522588,3262.76329893492,3362.66480874788,3458.69271277942
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Canada,CAN,37194.3956032859,37309.6497953194,38169.1063580352,39268.2124283808,40426.2313340311,42046.8695832654,43358.1823908414,45888.4763265252,45851.6302484565,44003.6170419636,44861.5239641879,45822.5964338567,46126.5138859002,46704.7622355677,47564.609109622,47522.1406673151
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cayman Islands,CYM,..,..,..,..,..,..,80513.47821153,80595.6674899547,77987.9678361333,70428.4317191014,66882.5075913816,66255.631772759,65835.0878214292,65598.181191409,66326.8874800978,67241.283390426
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Central African Republic,CAF,1040.10383462572,1062.72230628262,1077.95412734811,998.99994514318,1037.84466970449,1026.91390767575,1055.08733366913,1082.68664802488,1085.44025590048,1161.19001087794,1201.35219681679,1242.71480100483,1300.28880967492,824.943275653475,822.611194894812,852.749236638592
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Chad,TCD,897.34703736949,964.737480839424,1007.06275012841,1111.60459241536,1430.36832482671,1618.13661604613,1572.4821779686,1569.74883183845,1564.79168999509,1577.66948800015,1732.69158409284,1676.76945838237,1765.19498420091,1804.32252218497,1866.26607861774,1857.10786365964
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Chile,CHL,15638.0009435542,15973.6199742168,16293.18583341,16782.9388160789,17807.1701306068,18634.626435638,19603.6978289233,20346.7408564348,20840.4042140469,20298.2509246428,21262.4669863019,22337.8605577339,23300.4423021672,24006.8123342896,24173.0649373598,24440.4152640857
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,China,CHN,3451.67923092858,3712.33813234069,4024.35569663549,4400.82518341212,4817.21184452758,5334.6466393818,5979.78171182527,6795.17401237991,7412.87436349204,8069.35463837756,8884.58803122605,9686.61528974418,10397.5614154951,11149.8675587707,11917.3384959933,12691.8215526921
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Colombia,COL,9042.66279139813,9051.41423504113,9137.4643025928,9356.20968436527,9716.49910722704,10049.1261807666,10586.7948808009,11161.5133168718,11393.2022349803,11395.5621370337,11783.2999142858,12480.5465526004,12852.6257014235,13390.485196138,13852.2420491719,14095.748356648
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Comoros,COM,2833.59101577331,2829.08347204955,2825.80098526387,2817.3127638307,2804.00387301488,2815.70212052365,2821.93847651689,2777.14223638774,2819.65874136648,2840.6328978705,2878.26971036373,2924.68551719278,2946.20222437818,3005.510856738,2996.3793452042,2959.49809656739
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Congo, Dem. Rep.",COD,751.557756784938,715.677928228603,715.454398860416,732.536628665159,757.686099243824,778.96804364136,794.429458022618,817.069598483967,839.815586400063,835.611722909563,865.684040221023,894.826544520519,926.787816171911,972.455934329137,1029.79081257806,1065.24257721582
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Congo, Rep.",COG,4402.90145480416,4441.77772065858,4515.56910109022,4423.29796195738,4442.06345542297,4638.19394755187,4844.96088360001,4371.62527167075,4490.49690886735,4851.12682625449,5172.76090245052,5141.18322685501,5508.01133299633,5335.61069363986,5556.70481044322,5227.93427667066
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Costa Rica,CRI,12624.0705682992,12832.5736814217,13054.7191821429,13411.8482969266,13802.7286818822,14149.5192435305,14976.8157793638,15989.3313315427,16527.4360773719,16174.2768649604,16830.4361782214,17360.2015917797,17994.5362252058,18233.0159654164,18669.096679367,19141.6830724515
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cote d'Ivoire,CIV,4093.87478193688,4001.95631136697,3848.77608618401,3717.05255316659,3685.17970253609,3670.1809218819,3646.27218791902,3630.0476448341,3639.89348128385,3673.26125023814,3660.90384745152,3417.77838502631,3692.64764324942,3922.54088429798,4161.94030038249,4417.15021465621
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Croatia,HRV,18183.5881144119,19455.7815687732,20548.4106590796,21700.2987445833,22595.5483294729,23538.7544252511,24708.2992912917,25966.0969395053,26460.8959793295,24548.7918388197,24280.6026929712,24316.2479790563,23807.3155946951,23766.9760398631,23782.5024628678,24562.453617545
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Curacao,CUW,29669.8646067821,30562.3183466686,30646.1487257223,30107.1799579905,29653.9647137476,29102.8638428108,28829.0168947987,28963.4099644225,29227.0765763594,28883.1037792964,28543.3607059699,28313.0486187097,28040.0360514959,27503.7894380048,26826.5923787915,26548.7000044222
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cyprus,CYP,33013.9825138552,33950.959832956,34813.6766698246,35295.3649844909,36576.8730925333,37803.5755253568,38930.6130534338,40053.4137891646,40484.6149094716,38618.0093651325,38379.0903965443,37562.4491443722,35719.3218041179,33456.2890881726,33207.7707129666,34472.2985065115
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Czech Republic,CZE,24976.5063182959,25833.4146699938,26289.6261389536,27239.5594440384,28542.2548172745,30384.4466487841,32352.8129664551,33956.2459846788,34580.4433462984,32782.6123492193,33483.137594809,34002.1897752206,33688.0998344582,33661.4684161727,34386.7049143977,36168.4185553861
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Denmark,DNK,48907.0114021027,49133.2231026505,49204.8990055345,49262.6449732556,50446.5416048985,51483.273786293,53322.2889991783,53569.0280238008,52982.5317373493,50114.0500523227,50825.4122929358,51293.2061782002,51216.309409926,51479.2664533017,52048.3354927846,52892.6460290247
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,4028.4323695284,4238.9443547647,4488.80265798112
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Dominica,DMA,9611.53337036947,9602.50168623798,9308.36387285423,9862.73760555821,10122.4662518697,10160.994408622,10613.6892365175,11275.3781165915,12072.8474449511,11928.4447252248,12003.7660822063,11971.0201324486,11837.2360018054,11708.1449960953,12216.5318416184,11873.7418376836
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Dominican Republic,DOM,9322.13919573249,9410.032483728,9690.5988753623,9424.79525292111,9533.31894357299,10291.303222851,11087.4819622245,11756.4666220014,11980.8394631662,11944.3481294287,12782.4571724153,13024.3285156301,13219.6941289337,13702.3212058786,14499.6304101602,15328.3595089817
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Ecuador,ECU,8176.34444775576,8350.88532837319,8541.67230726848,8625.79251111208,9178.41807603603,9503.69468951352,9757.37510261875,9805.65121285274,10257.3996333732,10148.8659478336,10340.9702972165,10984.2837669942,11431.3756193625,11818.5868341087,12078.4743866036,11896.3751614302
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Egypt, Arab Rep.",EGY,7744.71523809311,7867.50743983462,7905.41251956336,8007.6450292324,8184.06580830494,8397.03244402289,8814.14605018027,9274.97705396552,9763.50444936789,10031.0329555174,10340.0732290684,10302.4428451733,10301.1078078999,10290.191622314,10353.6668042394,10570.4452319757
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,El Salvador,SLV,6548.6313703709,6562.53621306769,6626.99299578067,6694.66220386984,6720.96649844551,6870.62983910769,7136.85528246641,7238.19214441388,7392.84652175994,7208.16330903933,7328.71990965521,7575.63973950405,7754.68799218819,7892.43695519397,7990.45957385618,8143.22444194766
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Equatorial Guinea,GNQ,11176.5189594963,17523.5451572879,20084.3430084807,21944.5056628252,29004.1867208956,32390.2074360136,33330.8905720164,36685.3433527448,41249.4865794728,39914.175308629,34732.2191497036,35377.736491918,36671.3574358438,33678.7378356066,32436.5535005511,28313.4331590396
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Estonia,EST,17778.9655754809,18962.4768450013,20381.0715821163,22061.2718205367,23695.4929298202,26093.1591109829,28798.4026229086,31121.1197640419,29616.6905059021,25390.753967296,26133.3818108942,28159.5802675351,29139.5270164549,29637.087377055,30602.5954941753,31146.7545222679
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Ethiopia,ETH,727.766684744805,765.809379888096,755.43468922963,718.333023905387,793.093753452204,862.35534188426,929.694443425612,1008.13532290967,1086.69947540926,1150.20604388024,1259.02258051063,1360.93852243609,1437.37660668157,1545.17795600731,1656.63448899243,1779.0841114169
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Fiji,FJI,9575.8788393934,9732.45128381993,10027.454883989,10117.5405545229,10630.5051403156,10656.1632257559,10771.4574550054,10573.6168923303,10566.926052996,10319.3892541372,10547.9303978854,10787.6605625282,10919.4971705367,11429.3552174668,12057.9871263878,12569.1431129142
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Finland,FIN,39894.1944569685,40842.3417724243,41439.019233448,42168.6934671901,43724.9661225981,44786.9096643071,46412.2003478176,48664.265707071,48817.989492787,44662.100140396,45874.6613021399,46825.8248388831,45952.246383366,45328.5753218041,44976.7764487708,45072.5902146238
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,France,FRA,39732.2824515749,40226.6270677305,40388.6256508389,40433.4900386568,41272.6323754944,41643.9888864457,42367.5698646841,43127.2128556843,42996.2097818165,41546.4905796298,42147.6716766942,42864.0189689606,42790.6328838388,42816.2714819044,43021.3946358903,43345.7864281559
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Gabon,GAB,16567.2456051163,16522.1973634649,16093.405140168,16060.6875826795,15767.1793679395,15761.1484780064,14894.693568942,15334.7235424854,14378.492978127,13934.8565686915,14415.4459113912,14883.4942581406,15082.6565608753,15342.1813095484,15437.2650293528,15510.0389513624
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Gambia, The",GMB,2270.48649520816,2327.35435866192,2180.85250445442,2257.27783498198,2341.17318281022,2216.18606202049,2137.81852872171,2137.85713262186,2205.11439160073,2283.18617983918,2346.72047883159,2091.82876600813,2135.74423789688,2131.43602743993,2038.8025175488,2058.65814621739
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Georgia,GEO,4919.23187995616,5236.22280631371,5572.62200637586,6230.82190884126,6632.81426469502,7315.19848048057,8049.90605481459,9109.89774086377,9358.61458957779,9097.42124780979,9736.73209374292,10541.4719031056,11295.7540913053,11740.0891163337,12254.6456549529,12605.1400698178
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Germany,DEU,42864.9328892862,43512.43267398,43353.3388942422,43025.9877312919,43541.0326202312,43884.5352789987,45610.7818923168,47031.2137894261,47573.0273603862,44978.1198711897,46929.9934093156,49684.6130740715,49798.9676727479,49880.5735214304,50770.6134878236,51083.9216615196
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Ghana,GHA,2734.80676341488,2775.37498857643,2830.15420948139,2905.01641475462,2992.41646351466,3090.18743847289,3205.03311283034,3259.16990307303,3466.81399090962,3543.46757579225,3729.47590321705,4151.48142162162,4431.0237345026,4645.8184097683,4670.24489811829,4662.30319092518
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Greece,GRC,29186.324547399,30234.5959617275,31305.6936704984,33040.7682982488,34627.1806747136,34732.6440722251,36585.8395603871,37687.4333370451,37461.5387708945,35756.2455188034,33753.6177475922,30372.7605650238,28374.676952114,27797.5447288899,28178.6902062824,28248.1259561464
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Grenada,GRD,11613.4153892276,11333.7361432869,11678.7440082908,12738.9057095146,12614.8241638688,14246.9927237107,13641.282973397,14442.8802800479,14541.8514410654,13537.7949164169,13412.7933652353,13444.648144173,13206.9742382866,13427.5519644025,14317.3257305619,15142.06257045
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Guatemala,GTM,6499.88328602091,6493.60646967771,6589.73707436894,6612.66987730145,6676.70453318824,6753.68253599957,6972.38159210706,7269.2062604465,7365.2804361703,7262.50010896451,7335.98897429945,7503.67465594417,7590.75546737921,7734.11770732066,7939.37437823934,8125.65553391647
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Guinea,GIN,1704.9563781541,1730.30211727688,1783.84999631576,1771.66008874508,1778.05158492916,1794.38316206248,1777.13474291357,1856.26108954869,1889.18795016232,1825.67339769648,1870.80005065288,1932.50581465451,2002.32168675994,2035.31862675328,2061.69491695153,2087.93502637033
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Guinea-Bissau,GNB,1722.75748109366,1723.45304915319,1669.27025591944,1641.02891383706,1647.57806324477,1677.70868916866,1675.77017912103,1688.81368651749,1700.28551531301,1713.76353840849,1747.23748547332,1839.692741951,1760.88399471437,1770.47614739359,1740.89673703744,1800.06338150248
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Guyana,GUY,7776.30855726493,7969.70874586926,8064.48851671623,8009.70649448067,8128.43580913366,7965.37804381727,8371.96241783162,8972.30598598409,9112.20877375835,9454.09979877161,9789.01670024955,10276.0355174405,10780.9643925318,11117.52938154,11244.4452370602,11261.8137066367
